,Opfikon_Balsberg_normal,StGallen_Blumenbergplatz_normal,StGallen_Stuelegg_normal,Zuerich_Schimmelstrasse_normal,Zuerich_Stampfenbachstrasse_normal,Opfikon_Balsberg_covid,StGallen_Blumenbergplatz_covid,StGallen_Stuelegg_covid,Zuerich_Schimmelstrasse_covid,Zuerich_Stampfenbachstrasse_covid
0,4.176012469906504,12.633380817546838,2.611748812771379,6.746708870394595,7.050690713087914,9.31134627661437,9.639726648083284,3.968320234156297,15.648025193700022,14.745109046838017
1,6.8554926000201855,9.464909294418199,1.5372747146594872,13.329570750469518,7.99957025277164,5.410341362036531,7.242017724050503,1.6231932866494865,6.302234225057764,6.099160721708552
2,15.184826739594302,10.143966785956575,7.161160047644448,25.266491070603074,19.73788898911807,10.974271084081844,16.123490917048436,8.065791567668715,11.775219999904927,14.263623977569335
3,17.362736176728493,0.9170659549265444,1.726683254403476,22.82892837765826,14.571606288614579,13.183172035976359,5.932658719459582,4.347429408659568,16.310743588985126,13.782088010844669
4,9.766057056955583,5.931264466623555,4.5228091763617915,13.04815878441277,5.0658192164757665,6.929477152445229,5.486362556230689,3.8719546248738643,11.223033016018004,8.304939470329245
5,8.660355386315112,8.902539009570557,6.204379970598432,13.329701424330644,10.139285438193514,2.3416789526190986,5.583890800412186,5.644567027571729,10.12326011021777,3.4485845421976915
6,7.101280779116917,3.6034724403378506,3.5238091422586786,15.268983483183058,12.685674164567864,6.608095247340113,3.1067208030320104,1.7864893222810267,6.5536115143666605,10.652795686562229
7,1.704341684342624,17.62128890638932,3.994431872098259,8.454757459627519,2.704418659335383,7.009799967521002,15.204261279365948,5.683470045859436,11.91254102483355,10.516636385271717
8,7.4884337329633555,8.862721277044546,4.560172989367627,17.746245476823272,10.054354876604261,6.722214489130467,6.831140760598994,3.0363998579682234,11.001813737171735,7.900894161555589
9,9.05173632138061,9.320997826596113,1.8757629826632058,24.104635892349542,15.491965521888597,4.105183038062851,15.125750853711804,2.3984232358144064,11.427147723787762,9.768672221051947
10,7.551827600180478,7.337608406418443,3.5272780657169602,16.056245601878345,6.5520257347703215,4.972612459355953,3.988497417448993,1.4487738662743912,3.7725240549033363,4.146398565411057
11,8.929844908127839,2.8086209043780954,1.112980671794324,19.169019715558488,9.067147543447607,3.7262754636482467,2.963967846732254,0.7212056220609595,7.9397155593064515,2.99505935040572
