,city,train_len,train_RMSE,test_RMSE,class
0,Opfikon_Balsberg,3.0,5.496683791028273,21.589498380784324,high traffic
0,StGallen_Blumenbergplatz,3.0,6.594456517757087,23.366761490291,low traffic
0,StGallen_Stuelegg,3.0,2.7531964878265383,8.470621434310727,no traffic
0,Zuerich_Schimmelstrasse,3.0,6.082415964977749,19.836661632197192,low traffic
0,Zuerich_Stampfenbachstrasse,3.0,5.396030902388237,17.867432600004904,low traffic
0,Opfikon_Balsberg,6.0,5.34454890397768,20.583331339655974,high traffic
0,StGallen_Blumenbergplatz,6.0,5.236050401685865,24.46661531095315,low traffic
0,StGallen_Stuelegg,6.0,2.328376435233247,6.255279915009958,no traffic
0,Zuerich_Schimmelstrasse,6.0,5.934049009797128,17.023164005148697,low traffic
0,Zuerich_Stampfenbachstrasse,6.0,6.061217209457019,20.116373290539908,low traffic
0,Opfikon_Balsberg,9.0,5.557006751451209,19.426307541729503,high traffic
0,StGallen_Blumenbergplatz,9.0,4.952768393856947,21.093414139991513,low traffic
0,StGallen_Stuelegg,9.0,2.2397765133215706,6.653301909623531,no traffic
0,Zuerich_Schimmelstrasse,9.0,6.012151713623877,27.711650599721462,low traffic
0,Zuerich_Stampfenbachstrasse,9.0,6.342985146307956,17.260007967883645,low traffic
0,Opfikon_Balsberg,12.0,6.198409780591238,19.623204143006838,high traffic
0,StGallen_Blumenbergplatz,12.0,5.946032028980259,16.633669418962704,low traffic
0,StGallen_Stuelegg,12.0,2.8337578888946413,6.5874312594436635,no traffic
0,Zuerich_Schimmelstrasse,12.0,6.478844169522991,9.391049861387133,low traffic
0,Zuerich_Stampfenbachstrasse,12.0,6.803790824044137,13.96555231739045,low traffic
0,Opfikon_Balsberg,18.0,6.34354552575387,15.146306023450213,high traffic
0,StGallen_Blumenbergplatz,18.0,6.121686170298649,15.935834950220427,low traffic
0,StGallen_Stuelegg,18.0,2.692896192006586,7.060690937493197,no traffic
0,Zuerich_Schimmelstrasse,18.0,6.894417771773651,11.622090351264987,low traffic
0,Zuerich_Stampfenbachstrasse,18.0,6.919705583571795,11.91098515732144,low traffic
0,Opfikon_Balsberg,24.0,6.941086637710903,14.43178824500266,high traffic
0,StGallen_Blumenbergplatz,24.0,6.9799626708186455,15.815973019436145,low traffic
0,StGallen_Stuelegg,24.0,2.9952364053034275,7.190153351082198,no traffic
0,Zuerich_Schimmelstrasse,24.0,7.376384043615469,11.86411732375722,low traffic
0,Zuerich_Stampfenbachstrasse,24.0,7.730282887157907,10.959429141995162,low traffic
0,Opfikon_Balsberg,3.0,6.279357336683041,22.358103098236487,high traffic
0,StGallen_Blumenbergplatz,3.0,8.381678573652293,36.79670507306643,low traffic
0,StGallen_Stuelegg,3.0,3.4444078818389228,6.70951286729558,no traffic
0,Zuerich_Schimmelstrasse,3.0,7.085942910456488,19.777346375135775,low traffic
0,Zuerich_Stampfenbachstrasse,3.0,5.999439956811245,15.528926306312442,low traffic
0,Opfikon_Balsberg,6.0,5.876562986829276,16.330752031061692,high traffic
0,StGallen_Blumenbergplatz,6.0,6.150020701985226,21.772261365046067,low traffic
0,StGallen_Stuelegg,6.0,2.8171785662844204,6.831088480245676,no traffic
0,Zuerich_Schimmelstrasse,6.0,6.330687123701104,7.16197971943469,low traffic
0,Zuerich_Stampfenbachstrasse,6.0,6.530819776083594,10.376812798876523,low traffic
0,Opfikon_Balsberg,9.0,6.0250094663806,11.980893870768195,high traffic
0,StGallen_Blumenbergplatz,9.0,5.83427991931286,14.86378981435275,low traffic
0,StGallen_Stuelegg,9.0,2.562733036041271,6.618339848628386,no traffic
0,Zuerich_Schimmelstrasse,9.0,6.230876314894813,11.82914592624127,low traffic
0,Zuerich_Stampfenbachstrasse,9.0,6.5682187274262285,10.032316307927614,low traffic
0,Opfikon_Balsberg,12.0,6.484000328130339,10.09901601663989,high traffic
0,StGallen_Blumenbergplatz,12.0,6.2602475811599145,11.350571803763424,low traffic
0,StGallen_Stuelegg,12.0,2.9574946985349095,7.23012144024527,no traffic
0,Zuerich_Schimmelstrasse,12.0,6.61010038026759,5.6444020279708615,low traffic
0,Zuerich_Stampfenbachstrasse,12.0,6.942976199665613,12.486304054027597,low traffic
0,Opfikon_Balsberg,18.0,6.586673099502353,10.104904616365156,high traffic
0,StGallen_Blumenbergplatz,18.0,6.582466009857685,10.597431441146993,low traffic
0,StGallen_Stuelegg,18.0,2.8865904664937445,6.944499071698951,no traffic
0,Zuerich_Schimmelstrasse,18.0,6.951425665618038,5.467465419952534,low traffic
0,Zuerich_Stampfenbachstrasse,18.0,7.090447035100379,12.006387476204088,low traffic
0,Opfikon_Balsberg,24.0,6.7465184853792035,9.77858945944328,high traffic
0,StGallen_Blumenbergplatz,24.0,6.598405317444827,10.747751820722106,low traffic
0,StGallen_Stuelegg,24.0,2.9218492044907984,6.280915499875105,no traffic
0,Zuerich_Schimmelstrasse,24.0,6.899173650565634,5.502610165313958,low traffic
0,Zuerich_Stampfenbachstrasse,24.0,7.175292408270728,10.116580825491996,low traffic
0,Opfikon_Balsberg,3.0,7.2109256522141125,11.63655769155474,high traffic
0,StGallen_Blumenbergplatz,3.0,8.41331142563062,12.978078333686856,low traffic
0,StGallen_Stuelegg,3.0,3.8556412788082137,3.2629859281067204,no traffic
0,Zuerich_Schimmelstrasse,3.0,6.7286011913981065,5.346098156141841,low traffic
0,Zuerich_Stampfenbachstrasse,3.0,6.636384789829784,25.808036545105825,low traffic
0,Opfikon_Balsberg,6.0,6.407280931673719,9.474320238989877,high traffic
0,StGallen_Blumenbergplatz,6.0,6.516592809541522,8.713899619003486,low traffic
0,StGallen_Stuelegg,6.0,3.2871297757220144,2.247501041053824,no traffic
0,Zuerich_Schimmelstrasse,6.0,6.351229185270131,9.934978497013681,low traffic
0,Zuerich_Stampfenbachstrasse,6.0,7.100236601529015,8.495129512166093,low traffic
0,Opfikon_Balsberg,9.0,6.271230612120181,7.6765460404615204,high traffic
0,StGallen_Blumenbergplatz,9.0,6.385500888328653,12.381331951995408,low traffic
0,StGallen_Stuelegg,9.0,2.804193936045441,2.6405843192685348,no traffic
0,Zuerich_Schimmelstrasse,9.0,6.1651649953266725,7.415394272371483,low traffic
0,Zuerich_Stampfenbachstrasse,9.0,6.862944030065121,9.714246247852955,low traffic
0,Opfikon_Balsberg,12.0,6.503346597303386,7.938216120962642,high traffic
0,StGallen_Blumenbergplatz,12.0,6.240878641695988,16.443472823968026,low traffic
0,StGallen_Stuelegg,12.0,2.92320122547844,2.893510228355354,no traffic
0,Zuerich_Schimmelstrasse,12.0,6.505753119845667,7.297856239874173,low traffic
0,Zuerich_Stampfenbachstrasse,12.0,6.934448203963478,8.083817381583817,low traffic
0,Opfikon_Balsberg,18.0,6.723385199263134,9.706663242646453,high traffic
0,StGallen_Blumenbergplatz,18.0,6.784253236429043,19.16581926680873,low traffic
0,StGallen_Stuelegg,18.0,3.1409511586945413,2.561233309360415,no traffic
0,Zuerich_Schimmelstrasse,18.0,6.763612398323509,9.186937379554355,low traffic
0,Zuerich_Stampfenbachstrasse,18.0,7.350101753101219,10.713488588698711,low traffic
0,Opfikon_Balsberg,24.0,6.796522126907546,11.304285410247003,high traffic
0,StGallen_Blumenbergplatz,24.0,6.686673511410495,24.72688463501122,low traffic
0,StGallen_Stuelegg,24.0,3.026563264100493,2.4929418912897754,no traffic
0,Zuerich_Schimmelstrasse,24.0,6.876150188166096,8.41763353270631,low traffic
0,Zuerich_Stampfenbachstrasse,24.0,7.179599728527735,14.191690095760121,low traffic
0,Opfikon_Balsberg,3.0,7.219816969430017,11.924500945018472,high traffic
0,StGallen_Blumenbergplatz,3.0,7.7404878257328065,9.43010032940893,low traffic
0,StGallen_Stuelegg,3.0,2.9926816707459434,9.213492920268187,no traffic
0,Zuerich_Schimmelstrasse,3.0,4.507518661857899,12.819913733847283,low traffic
0,Zuerich_Stampfenbachstrasse,3.0,5.989487943007829,13.024179217247674,low traffic
0,Opfikon_Balsberg,6.0,6.180355139273602,13.827588452383502,high traffic
0,StGallen_Blumenbergplatz,6.0,6.218386047389953,19.226038021983612,low traffic
0,StGallen_Stuelegg,6.0,3.273993035052319,3.1691277429228193,no traffic
0,Zuerich_Schimmelstrasse,6.0,6.161899005887411,13.718202454226185,low traffic
0,Zuerich_Stampfenbachstrasse,6.0,7.11164390458676,19.309385331560204,low traffic
0,Opfikon_Balsberg,9.0,6.344361645735457,12.117445460200875,high traffic
0,StGallen_Blumenbergplatz,9.0,6.539367472236763,17.634313329026906,low traffic
0,StGallen_Stuelegg,9.0,2.9101201087067556,3.00748236608642,no traffic
0,Zuerich_Schimmelstrasse,9.0,6.2633413691548645,8.803978234806511,low traffic
0,Zuerich_Stampfenbachstrasse,9.0,6.924854505430928,8.787469581248022,low traffic
0,Opfikon_Balsberg,12.0,6.366537282123843,9.76406453140877,high traffic
0,StGallen_Blumenbergplatz,12.0,6.1697652081509835,12.176529596116758,low traffic
0,StGallen_Stuelegg,12.0,2.813734285004548,3.1550545220576227,no traffic
0,Zuerich_Schimmelstrasse,12.0,6.209241413351349,9.92924585468076,low traffic
0,Zuerich_Stampfenbachstrasse,12.0,7.0032676555888855,9.201562302177676,low traffic
0,Opfikon_Balsberg,18.0,6.875720750689731,9.044867694879875,high traffic
0,StGallen_Blumenbergplatz,18.0,6.885855907674769,10.336777895243415,low traffic
0,StGallen_Stuelegg,18.0,3.182797768105963,3.028617250727993,no traffic
0,Zuerich_Schimmelstrasse,18.0,6.805572669404812,10.353703737462505,low traffic
0,Zuerich_Stampfenbachstrasse,18.0,7.483178663396518,7.4307312161590815,low traffic
0,Opfikon_Balsberg,24.0,6.819029709239073,9.033779307473862,high traffic
0,StGallen_Blumenbergplatz,24.0,6.677965381558877,10.63791301579879,low traffic
0,StGallen_Stuelegg,24.0,2.991281915645444,2.8505059357446756,no traffic
0,Zuerich_Schimmelstrasse,24.0,6.93099014826158,11.742294549115366,low traffic
0,Zuerich_Stampfenbachstrasse,24.0,7.2219154661174425,8.967132083920472,low traffic
0,Opfikon_Balsberg,3.0,7.23224180749654,13.036494209687783,high traffic
0,StGallen_Blumenbergplatz,3.0,6.461491119780284,10.687251269540727,low traffic
0,StGallen_Stuelegg,3.0,2.8959039342681296,4.456545850224897,no traffic
0,Zuerich_Schimmelstrasse,3.0,4.153612251684051,18.21943543990812,low traffic
0,Zuerich_Stampfenbachstrasse,3.0,5.62287158713321,10.662641635506478,low traffic
0,Opfikon_Balsberg,6.0,6.578407857110427,7.490540889789305,high traffic
0,StGallen_Blumenbergplatz,6.0,6.1951475837898045,20.566379478492294,low traffic
0,StGallen_Stuelegg,6.0,3.2386044102825537,2.2615728844855734,no traffic
0,Zuerich_Schimmelstrasse,6.0,6.173228258707968,9.382103383918865,low traffic
0,Zuerich_Stampfenbachstrasse,6.0,7.166294992183594,10.349226835744398,low traffic
0,Opfikon_Balsberg,9.0,6.577097622259811,11.461625509816896,high traffic
0,StGallen_Blumenbergplatz,9.0,6.738930583507214,8.842412373701677,low traffic
0,StGallen_Stuelegg,9.0,3.0524893451725728,1.9295517825304807,no traffic
0,Zuerich_Schimmelstrasse,9.0,6.1605194145535185,11.074611025969842,low traffic
0,Zuerich_Stampfenbachstrasse,9.0,7.102087834086006,9.330413903680203,low traffic
0,Opfikon_Balsberg,12.0,6.5370808882544145,9.833624850926887,high traffic
0,StGallen_Blumenbergplatz,12.0,6.4914359458985205,8.334514834693664,low traffic
0,StGallen_Stuelegg,12.0,2.853354351406977,1.7518332176154188,no traffic
0,Zuerich_Schimmelstrasse,12.0,6.179444560313826,7.224430925043292,low traffic
0,Zuerich_Stampfenbachstrasse,12.0,7.016704171845363,9.806490609665742,low traffic
0,Opfikon_Balsberg,18.0,7.013729187501823,8.800440831482788,high traffic
0,StGallen_Blumenbergplatz,18.0,7.079759329625813,8.798896715281437,low traffic
0,StGallen_Stuelegg,18.0,3.1908077865057387,1.7415578106503466,no traffic
0,Zuerich_Schimmelstrasse,18.0,6.8495175671042,6.613113043659003,low traffic
0,Zuerich_Stampfenbachstrasse,18.0,7.49605967537568,9.398072199859815,low traffic
0,Opfikon_Balsberg,24.0,6.814810815895753,8.464173543523795,high traffic
0,StGallen_Blumenbergplatz,24.0,6.841579793657938,9.605320605922984,low traffic
0,StGallen_Stuelegg,24.0,2.967150483483598,1.7152617360383244,no traffic
0,Zuerich_Schimmelstrasse,24.0,7.020758153069612,6.1516396577759975,low traffic
0,Zuerich_Stampfenbachstrasse,24.0,7.154939892240118,9.83986563359888,low traffic
0,Opfikon_Balsberg,3.0,6.964523609119881,16.468334536874835,high traffic
0,StGallen_Blumenbergplatz,3.0,5.513020327536187,12.187916441458759,low traffic
0,StGallen_Stuelegg,3.0,1.691596964393645,6.27832374660169,no traffic
0,Zuerich_Schimmelstrasse,3.0,4.8369125552462595,7.402899944043266,low traffic
0,Zuerich_Stampfenbachstrasse,3.0,5.603840493127177,17.164016196690458,low traffic
0,Opfikon_Balsberg,6.0,6.526927835485933,7.163776562843652,high traffic
0,StGallen_Blumenbergplatz,6.0,6.133981675731256,8.357246125062185,low traffic
0,StGallen_Stuelegg,6.0,2.9624823383896706,4.452737205886993,no traffic
0,Zuerich_Schimmelstrasse,6.0,6.246830382775717,8.309821849312302,low traffic
0,Zuerich_Stampfenbachstrasse,6.0,7.381275009635857,11.62346650994198,low traffic
0,Opfikon_Balsberg,9.0,6.67867462292926,7.599663351925075,high traffic
0,StGallen_Blumenbergplatz,9.0,6.931695873158406,9.105551128649708,low traffic
0,StGallen_Stuelegg,9.0,3.103817234724545,3.6143360165519365,no traffic
0,Zuerich_Schimmelstrasse,9.0,6.3683077557543655,8.075568773798365,low traffic
0,Zuerich_Stampfenbachstrasse,9.0,7.52166426738944,9.293506233800542,low traffic
