,pm10,sun,t,o3,no2,nox,no,ws,wd,press,h,pm25,co,p,so2,city
2015-07-30,11.591739130434785,,17.63086956521739,46.418695652173916,39.3895652173913,43.450000000000024,28.503913043478256,0.8804347826086958,231.69347826086957,966.0308695652174,55.87217391304347,,,0.0,,Opfikon_Balsberg
2015-07-30,9.19521739130435,206.65217391304344,15.171739130434787,65.24304347826087,20.812608695652177,17.580000000000002,8.354347826086958,0.4991304347826087,181.52652173913043,937.6356521739132,66.69652173913043,,0.17772727272727273,0.41608695652173916,,StGallen_Blumenbergplatz
2015-07-30,6.5633333333333335,165.7713043478261,12.398695652173911,85.1704347826087,3.112173913043478,2.967391304347826,1.6713043478260872,1.536086956521739,199.31826086956525,913.9847826086956,72.22782608695651,,,0.0,,StGallen_Stuelegg
2015-07-30,14.195217391304345,,17.932608695652174,57.080000000000005,35.48608695652174,39.258260869565206,25.82,0.4839130434782608,194.83869565217393,,55.02391304347827,,0.33478260869565213,0.0,1.4078260869565218,Zuerich_Schimmelstrasse
2015-07-30,10.414782608695653,319.50260869565216,17.77521739130435,66.72782608695653,18.863478260869567,17.397391304347828,9.396956521739128,1.1504347826086956,205.31565217391307,965.992608695652,54.12260869565218,,0.22217391304347825,0.0,1.6252173913043477,Zuerich_Stampfenbachstrasse
2015-07-31,10.556666666666668,,18.011250000000004,70.82652173913043,19.06,14.677272727272726,5.87409090909091,1.5383333333333333,66.335,965.335,52.80374999999999,,,0.0,,Opfikon_Balsberg
2015-07-31,12.126666666666667,230.49333333333325,17.10708333333333,65.78166666666665,27.89041666666667,23.619583333333335,11.269166666666669,0.8758333333333331,134.4970833333333,937.28875,58.646250000000016,,0.21562499999999998,0.0,,StGallen_Blumenbergplatz
2015-07-31,8.873333333333333,236.57666666666663,14.403333333333334,88.05999999999999,6.78375,4.802499999999999,1.5666666666666667,1.6487499999999997,142.93375000000003,913.5979166666666,67.06291666666667,,,0.0,,StGallen_Stuelegg
2015-07-31,18.80041666666667,,19.47,66.72590909090908,37.85136363636364,34.145,17.899545454545454,0.6766666666666666,160.15083333333328,,45.990833333333335,,0.3522727272727273,0.06125,1.5595454545454546,Zuerich_Schimmelstrasse
2015-07-31,12.4675,294.9170833333334,19.0775,75.91478260869566,24.5552380952381,20.108571428571434,9.064761904761907,2.004166666666667,44.599999999999994,965.2291666666669,46.575416666666655,,0.23590909090909093,0.011250000000000001,2.0242857142857145,Zuerich_Stampfenbachstrasse
2015-08-01,16.60875,,18.109583333333337,50.558333333333316,37.73791666666666,28.73083333333334,11.221666666666666,0.8645833333333335,204.1966666666667,965.1158333333333,71.03583333333333,,,8.584166666666667,,Opfikon_Balsberg
2015-08-01,12.478333333333332,124.9204166666667,16.867499999999996,71.9608695652174,15.15375,10.514583333333333,3.2312500000000006,0.6399999999999999,186.08958333333337,936.9825,75.24333333333335,,0.23500000000000001,10.981666666666667,,StGallen_Blumenbergplatz
2015-08-01,8.832083333333332,110.15041666666666,15.191250000000002,91.55391304347827,4.305652173913044,3.6417391304347833,1.7339130434782617,1.2395833333333333,146.04000000000005,913.3825000000002,77.92333333333333,,,12.215000000000002,,StGallen_Stuelegg
2015-08-01,23.62625,,18.835416666666664,67.32291666666667,30.048333333333332,21.679999999999996,7.4425,0.40541666666666676,160.17541666666668,,68.53375000000001,,0.34708333333333335,8.352083333333335,1.5320833333333332,Zuerich_Schimmelstrasse
2015-08-01,23.982916666666664,122.34833333333336,18.524583333333332,71.72875,20.23458333333333,13.176249999999998,3.2370833333333326,0.9054166666666665,185.14666666666668,965.0437499999999,69.01875000000001,,0.28125,9.875,2.0708333333333333,Zuerich_Stampfenbachstrasse
2015-08-02,19.706249999999994,,21.265000000000004,72.66833333333334,17.07375,13.457916666666664,5.6499999999999995,1.2904166666666665,146.58708333333337,968.2845833333332,63.328333333333326,,,0.0,,Opfikon_Balsberg
2015-08-02,13.27875,214.20625000000004,19.23125,75.27583333333334,15.480833333333331,11.332500000000001,4.037916666666665,0.7599999999999998,140.68833333333336,940.5250000000001,70.03750000000001,,0.25749999999999995,0.6395833333333333,,StGallen_Blumenbergplatz
2015-08-02,10.342916666666662,188.9504166666667,16.877916666666668,95.85833333333333,3.338333333333333,2.8575,1.3866666666666665,1.3795833333333338,79.01916666666666,917.035,75.91375,,,0.07291666666666667,,StGallen_Stuelegg
2015-08-02,25.95583333333333,,21.428750000000004,76.05125000000001,23.423750000000002,16.895833333333332,5.795833333333332,0.57875,119.13583333333334,,63.107083333333314,,0.3320833333333333,0.022083333333333333,1.4825,Zuerich_Schimmelstrasse
2015-08-02,27.7375,267.6929166666667,21.054999999999996,80.78833333333333,13.339583333333335,9.652083333333335,3.3375000000000004,1.3774999999999997,123.70916666666669,968.4087499999999,64.14208333333333,,0.30166666666666664,0.013333333333333334,1.9829166666666664,Zuerich_Stampfenbachstrasse
2015-08-03,14.980416666666663,,22.98,56.3375,37.43416666666667,31.920000000000005,15.396666666666668,1.2433333333333332,166.78958333333333,967.1912499999997,57.99458333333333,,,0.0,,Opfikon_Balsberg
2015-08-03,18.188260869565212,233.39499999999998,21.953333333333333,68.58000000000001,35.03727272727273,29.487272727272728,13.92727272727273,0.8016666666666667,159.52958333333336,939.4579166666666,62.211249999999986,,0.30818181818181817,0.0,,StGallen_Blumenbergplatz
2015-08-03,11.839166666666669,248.21916666666664,21.265833333333337,112.19166666666668,4.468333333333333,3.0454166666666667,0.88375,1.1337500000000003,173.70208333333332,916.5737500000001,60.64791666666665,,,0.0,,StGallen_Stuelegg
2015-08-03,15.599583333333337,,24.123333333333335,68.48625,36.11291666666668,29.40875000000001,13.126666666666665,0.4216666666666667,166.13458333333332,,55.00541666666667,,0.36375,0.0,1.195,Zuerich_Schimmelstrasse
2015-08-03,15.324583333333331,313.2875,24.00583333333334,75.78999999999999,26.275000000000006,19.437916666666663,7.109166666666667,1.0575000000000003,176.9795833333333,967.3208333333332,54.297500000000014,,0.2808333333333333,0.0,1.6950000000000003,Zuerich_Stampfenbachstrasse
2015-08-04,14.911666666666664,,21.527916666666673,56.38347826086958,42.450909090909086,40.17636363636363,22.423636363636362,1.5933333333333335,216.38750000000002,966.8370833333332,67.25291666666668,,,0.6604166666666667,,Opfikon_Balsberg
2015-08-04,12.773750000000005,152.48625,21.530416666666667,60.30130434782609,44.754999999999995,38.05875,18.27875,0.8066666666666668,214.39875000000004,938.5783333333333,64.91083333333331,,0.3133333333333333,0.8320833333333333,,StGallen_Blumenbergplatz
2015-08-04,7.0263636363636355,178.73166666666668,20.732083333333335,109.64434782608696,2.7652173913043474,1.9004347826086956,0.567391304347826,2.1204166666666664,191.14874999999998,915.8095833333332,63.322083333333325,,,1.0854166666666667,,StGallen_Stuelegg
