,no2,city,pre_lockdown_model,dummy,lockdown_model,weekday,class,year
2016-02-28,34.66625,Opfikon_Balsberg,18.973186766650965,22.72407818273161,8.467313457443186,6,high traffic,2016
2016-02-29,51.0075,Opfikon_Balsberg,53.079486055211696,53.079486055211696,42.10303780609378,0,high traffic,2016
2016-03-01,65.0190909090909,Opfikon_Balsberg,51.986656687691315,49.46427277773313,41.93069492724527,1,high traffic,2016
2016-03-02,53.64583333333334,Opfikon_Balsberg,45.5176502637151,42.53549652213429,35.077408495879084,2,high traffic,2016
2016-03-03,55.78583333333333,Opfikon_Balsberg,43.62559121837756,39.96335931725102,34.3785755452963,3,high traffic,2016
2016-03-04,57.18666666666668,Opfikon_Balsberg,39.612456641410496,36.13103811773775,27.955482608747758,4,high traffic,2016
2016-03-05,55.66499999999999,Opfikon_Balsberg,46.936867758155906,50.01873852752598,38.34835368521214,5,high traffic,2016
2016-03-06,39.939583333333346,Opfikon_Balsberg,32.69449880204377,39.15801578619094,24.901251060902514,6,high traffic,2016
2016-03-07,45.02238095238096,Opfikon_Balsberg,38.02695289426788,38.02695289426788,27.050504645149964,0,high traffic,2016
2016-03-08,60.945,Opfikon_Balsberg,48.46538551486398,46.113853094785185,38.580275244297326,1,high traffic,2016
2016-03-09,48.15956521739131,Opfikon_Balsberg,47.78792188487206,44.6570280618017,37.19894003554649,2,high traffic,2016
2016-03-10,45.09869565217392,Opfikon_Balsberg,39.20045814280594,35.90970231944684,30.324918547492125,3,high traffic,2016
2016-03-11,33.33291666666667,Opfikon_Balsberg,23.296297411700216,21.248856575695694,13.073301066705698,4,high traffic,2016
2016-03-12,26.23083333333333,Opfikon_Balsberg,20.624617760120877,21.978828418826417,10.308443576512575,5,high traffic,2016
2016-03-13,14.384999999999998,Opfikon_Balsberg,18.69758137150428,22.39398716407869,8.137222438790268,6,high traffic,2016
2016-03-14,22.640454545454546,Opfikon_Balsberg,20.112348131439834,20.112348131439834,9.13589988232192,0,high traffic,2016
2016-03-15,38.01291666666667,Opfikon_Balsberg,40.2681490133011,38.31434514079708,30.78076729030922,1,high traffic,2016
2016-03-16,18.215000000000003,Opfikon_Balsberg,22.56915734048938,21.090506825418323,13.63241879916312,2,high traffic,2016
2016-03-17,38.95500000000001,Opfikon_Balsberg,45.538375002724955,41.715570887002436,36.13078711504772,3,high traffic,2016
2016-03-18,49.77136363636364,Opfikon_Balsberg,37.03550244758352,33.780564602608855,25.60500909361886,4,high traffic,2016
2016-03-19,58.59375000000001,Opfikon_Balsberg,38.516993120540015,41.046015632946464,29.37563079063262,5,high traffic,2016
2016-03-20,40.48374999999999,Opfikon_Balsberg,37.96732051502318,45.473244446668566,31.216479721380143,6,high traffic,2016
2016-03-21,36.925,Opfikon_Balsberg,31.303751810241177,31.303751810241177,20.327303561123266,0,high traffic,2016
2016-03-22,32.53045454545454,Opfikon_Balsberg,24.819774109545854,23.615522810240083,16.08194495975222,1,high traffic,2016
2016-03-23,44.91541666666666,Opfikon_Balsberg,30.07813875966164,28.10752662300187,20.649438596746666,2,high traffic,2016
2016-03-24,52.75416666666667,Opfikon_Balsberg,42.897535085700184,39.2964212192051,33.71163744725038,3,high traffic,2016
2016-03-25,38.18500000000001,Opfikon_Balsberg,47.21030574365159,43.061135334654985,34.88557982566499,4,high traffic,2016
2016-03-26,27.334090909090904,Opfikon_Balsberg,35.7643988243677,38.1126862279676,26.442301385653757,5,high traffic,2016
2016-03-27,42.61,Opfikon_Balsberg,36.11709551472813,43.25724045748888,29.000475732200453,6,high traffic,2016
2016-03-28,31.704166666666666,Opfikon_Balsberg,36.21758558700963,36.21758558700963,25.241137337891715,0,high traffic,2016
2016-03-29,41.398695652173906,Opfikon_Balsberg,41.48497788413162,39.47213367780897,31.93855582732111,1,high traffic,2016
2016-03-30,50.20045454545456,Opfikon_Balsberg,36.04978741502522,33.68793420423657,26.229846177981365,2,high traffic,2016
2016-04-01,37.79478260869565,Opfikon_Balsberg,39.171898344171524,35.729199151406476,27.553643642416482,4,high traffic,2016
2016-04-02,25.256666666666664,Opfikon_Balsberg,23.33496113752634,24.867132713283702,13.19674787096986,5,high traffic,2016
2016-04-03,39.364090909090905,Opfikon_Balsberg,32.512985070716745,38.94061781964771,24.68385309435929,6,high traffic,2016
2016-04-04,39.522083333333335,Opfikon_Balsberg,34.662765692805365,34.662765692805365,23.68631744368745,0,high traffic,2016
2016-04-05,34.37416666666667,Opfikon_Balsberg,37.469126222892704,35.65113046924015,28.117552618752292,1,high traffic,2016
2016-04-06,49.83750000000001,Opfikon_Balsberg,37.19450414909553,34.75765318970211,27.299565163446907,2,high traffic,2016
