,no2_2020,city,no2_2019,pre_lockdown_model,dummy,lockdown_model,weekday,class
3/29,22.45695652173913,StGallen_Blumenbergplatz,39.09708333333333,20.79469921909183,31.020722391146762,18.170381025396452,6,low traffic
3/30,37.080416666666665,StGallen_Blumenbergplatz,41.337826086956504,36.71301575595988,36.71301575595988,32.25131517229742,0,low traffic
3/31,40.85869565217392,StGallen_Blumenbergplatz,32.12347826086957,50.0994107707507,49.14732269006708,47.019834303302176,1,low traffic
4/1,34.40375,StGallen_Blumenbergplatz,45.61958333333334,55.070116084175375,54.18309744407448,48.38244835343064,2,low traffic
4/2,48.82708333333332,StGallen_Blumenbergplatz,50.51565217391305,37.98565853475567,37.22480217244006,37.8133905351175,3,low traffic
4/3,34.00521739130434,StGallen_Blumenbergplatz,23.666500000000006,40.26054212723091,38.744264985069684,35.1553694740035,4,low traffic
4/4,29.022916666666664,StGallen_Blumenbergplatz,29.035416666666666,36.311475815704775,43.41528967725346,34.71907232858524,5,low traffic
4/5,25.65375,StGallen_Blumenbergplatz,30.53086956521739,26.791924211650148,39.967149057448125,27.116807691697815,6,low traffic
4/6,40.42260869565217,StGallen_Blumenbergplatz,33.85208333333333,38.91683674623577,38.91683674623577,34.455136162573304,0,low traffic
4/7,49.20500000000001,StGallen_Blumenbergplatz,23.21333333333333,34.87517920091613,34.21241207615221,32.08492368938731,1,low traffic
4/8,43.27958333333334,StGallen_Blumenbergplatz,29.06043478260869,33.35383578952195,32.8166029640282,27.015953873384362,2,low traffic
4/9,41.51521739130435,StGallen_Blumenbergplatz,32.11083333333334,39.09543144418546,38.312346224679104,38.900934587356545,3,low traffic
4/10,22.80875000000001,StGallen_Blumenbergplatz,37.59541666666666,37.46446351450401,36.05349121584851,32.464595704782326,4,low traffic
4/11,27.97666666666667,StGallen_Blumenbergplatz,35.41608695652174,26.898647974262005,32.160978519743104,23.46476117107488,5,low traffic
4/12,22.344090909090916,StGallen_Blumenbergplatz,32.432916666666664,20.739828911502457,30.938869003352433,18.088527637602127,6,low traffic
4/13,12.066666666666665,StGallen_Blumenbergplatz,27.7925,24.19693234999646,24.19693234999646,19.735231766333996,0,low traffic
4/14,20.487916666666663,StGallen_Blumenbergplatz,27.346956521739134,30.761410279366935,30.176821127090875,28.04933274032597,1,low traffic
4/15,34.10130434782609,StGallen_Blumenbergplatz,38.61708333333333,44.16510410102998,43.45373333653529,37.65308424589145,2,low traffic
4/16,40.549583333333345,StGallen_Blumenbergplatz,37.72625000000001,44.29902698458452,43.41171325025047,44.00030161292791,3,low traffic
4/17,32.80458333333333,StGallen_Blumenbergplatz,31.823913043478264,38.69019627387811,37.23306089675329,33.6441653856871,4,low traffic
4/18,20.95652173913044,StGallen_Blumenbergplatz,37.98666666666667,25.253309171128834,30.19375303109036,21.497535682422136,5,low traffic
4/19,15.215454545454545,StGallen_Blumenbergplatz,25.285,18.456358907985035,27.5324773878108,14.682136022060492,6,low traffic
4/20,27.316666666666666,StGallen_Blumenbergplatz,26.444782608695654,27.884327550122812,27.884327550122812,23.42262696646035,0,low traffic
4/21,31.067826086956515,StGallen_Blumenbergplatz,22.834999999999994,32.32948520912506,31.71509639598926,29.587608009224354,1,low traffic
4/22,29.662916666666664,StGallen_Blumenbergplatz,17.585833333333333,37.15444267681383,36.55599318078372,30.755344090139886,2,low traffic
4/23,36.48125,StGallen_Blumenbergplatz,21.69913043478261,33.829120929159515,33.1515204114024,33.74010877407984,3,low traffic
4/24,37.2686956521739,StGallen_Blumenbergplatz,19.429166666666664,33.45215526943962,32.192292989622686,28.603397478556502,4,low traffic
4/25,22.19125,StGallen_Blumenbergplatz,,23.66038732838963,28.28919912128104,19.592981772612816,5,low traffic
3/16,7.878260869565217,StGallen_Stuelegg,,6.504827760488673,6.504827760488673,5.227672246778425,0,no traffic
3/17,8.910833333333333,StGallen_Stuelegg,,5.636610981090511,5.550218774518652,3.9852871322667065,1,no traffic
3/18,8.415833333333335,StGallen_Stuelegg,0.3113043478260869,5.373329080984272,5.720081941300856,6.653040824947068,2,no traffic
3/19,8.474782608695651,StGallen_Stuelegg,4.73125,6.742622913942856,6.80835217240882,9.559303371967628,3,no traffic
3/20,8.3975,StGallen_Stuelegg,6.834583333333334,6.364108055606978,5.8356514209099695,8.42487058566931,4,no traffic
3/21,8.195,StGallen_Stuelegg,9.41095238095238,7.806237545824642,8.445967819397973,10.150891796315463,5,no traffic
3/22,4.955217391304347,StGallen_Stuelegg,13.797916666666667,9.79169250155841,13.033886918111524,12.264961720227742,6,no traffic
3/23,6.53,StGallen_Stuelegg,7.632083333333334,15.23484958151731,15.23484958151731,13.957694067807061,0,no traffic
3/24,8.41125,StGallen_Stuelegg,6.37913043478261,15.712022125849165,15.471204324920242,13.906272682668297,1,no traffic
3/25,11.113478260869565,StGallen_Stuelegg,8.090416666666668,13.272107366526152,14.128585933613795,15.061544817260007,2,no traffic
3/26,13.887083333333335,StGallen_Stuelegg,5.700833333333335,15.905642512710557,16.060695835598196,18.811647035157005,3,no traffic
3/27,13.787083333333333,StGallen_Stuelegg,7.940869565217392,13.263500051556106,12.16213839328356,14.751357558042901,4,no traffic
3/28,10.563913043478264,StGallen_Stuelegg,5.613333333333332,8.500961581019967,9.19762529973694,10.90254927665443,5,no traffic
3/29,11.508260869565218,StGallen_Stuelegg,5.99875,6.466501012662882,8.607668484430798,7.8387432865470155,6,no traffic
3/30,8.084166666666668,StGallen_Stuelegg,5.59608695652174,13.136140041341044,13.136140041341044,11.858984527630795,0,no traffic
3/31,7.466956521739132,StGallen_Stuelegg,8.38173913043478,16.37790656692771,16.12688277052037,14.561951128268426,1,no traffic
4/1,11.479166666666664,StGallen_Stuelegg,12.149545454545455,13.062988528576545,13.905972192576687,14.838931076222899,2,no traffic
4/2,13.042916666666665,StGallen_Stuelegg,5.550869565217392,7.796490130987492,7.872492826301703,10.623444025860511,3,no traffic
4/3,10.17086956521739,StGallen_Stuelegg,5.896249999999998,6.548769609106772,6.004979227360253,8.594198392119594,4,no traffic
4/4,13.121250000000002,StGallen_Stuelegg,6.397083333333335,8.758343790661588,9.47610028171868,11.18102425863617,5,no traffic
4/5,8.185833333333333,StGallen_Stuelegg,5.752173913043479,6.061830843878489,8.069005202446663,7.30008000456288,6,no traffic
4/6,7.888695652173913,StGallen_Stuelegg,7.07375,4.694255190072464,4.694255190072464,3.4170996763622163,0,no traffic
4/7,7.708749999999998,StGallen_Stuelegg,6.467083333333332,3.235271930613804,3.1856849923128636,1.6207533500609181,1,no traffic
4/8,6.335416666666666,StGallen_Stuelegg,5.341304347826087,2.6762302809233494,2.8489333651360953,3.781892248782307,2,no traffic
4/9,9.930869565217392,StGallen_Stuelegg,10.84708333333333,3.854842937889176,3.8924211876362085,6.643372387195017,3,no traffic
4/10,6.346666666666665,StGallen_Stuelegg,13.075833333333335,5.594355876929338,5.129817177367999,7.71903634212734,4,no traffic
4/11,9.404166666666667,StGallen_Stuelegg,14.42190476190476,4.750430737394026,5.139734078137187,6.844658055054676,5,no traffic
4/12,5.02391304347826,StGallen_Stuelegg,15.013333333333335,2.507368416317277,3.3376003581732596,2.5686751602894775,6,no traffic
4/13,4.672083333333333,StGallen_Stuelegg,13.632916666666668,3.720089846522856,3.720089846522856,2.4429343328126087,0,no traffic
4/14,8.230000000000002,StGallen_Stuelegg,10.499565217391305,9.831154269867621,9.6804723950014,8.115540752749455,1,no traffic
4/15,11.711739130434784,StGallen_Stuelegg,10.931666666666667,9.303477265944483,9.903851317902905,10.836810201549117,2,no traffic
4/16,9.446666666666664,StGallen_Stuelegg,7.040000000000003,5.064490483102958,5.113860766479464,7.864811966038273,3,no traffic
4/17,6.349999999999998,StGallen_Stuelegg,9.102608695652174,3.059364569853575,2.805324020766467,5.394543185525809,4,no traffic
4/18,4.422173913043479,StGallen_Stuelegg,10.101250000000002,2.5491912039928915,2.7581003970257583,4.463024373943248,5,no traffic
4/19,3.6904166666666667,StGallen_Stuelegg,6.422499999999999,3.4718675876344807,4.6214614607926405,3.852536262908858,6,no traffic
4/20,7.75875,StGallen_Stuelegg,6.29304347826087,7.951020511315516,7.951020511315516,6.673864997605269,0,no traffic
4/21,8.864782608695652,StGallen_Stuelegg,4.5616666666666665,10.06086064790391,9.906658068676725,8.34172642642478,1,no traffic
4/22,10.129166666666666,StGallen_Stuelegg,1.7321739130434783,6.124612481321551,6.519847328140179,7.452806211786391,2,no traffic
4/23,9.705833333333333,StGallen_Stuelegg,0.8921739130434783,6.520487615333461,6.584051427408151,9.33500262696696,3,no traffic
4/24,5.667826086956523,StGallen_Stuelegg,0.9920833333333334,1.8465182813310381,1.693188886491648,4.2824080512509894,4,no traffic
4/25,4.375000000000001,StGallen_Stuelegg,,3.522781426556725,3.8114774741111046,5.516401451028594,5,no traffic
3/16,52.45708333333334,Zuerich_Schimmelstrasse,,56.44563972229228,56.44563972229228,37.15895817145877,0,low traffic
3/17,47.07375,Zuerich_Schimmelstrasse,,60.21098786890713,57.72798937438293,41.0205091022489,1,low traffic
3/18,50.32125,Zuerich_Schimmelstrasse,26.03583333333333,54.7870466056393,51.76900393849954,34.25664869853513,2,low traffic
3/19,51.05666666666666,Zuerich_Schimmelstrasse,55.88708333333333,56.113904429729374,53.5444676120593,45.444302118122586,3,low traffic
3/20,40.88208333333333,Zuerich_Schimmelstrasse,49.15708333333333,56.545233851155544,52.972988305785336,42.75639674713875,4,low traffic
3/21,18.02583333333333,Zuerich_Schimmelstrasse,50.06374999999999,38.58066232877284,44.432288639725634,24.709071961290952,5,low traffic
3/22,9.71125,Zuerich_Schimmelstrasse,64.00041666666667,25.44349495857969,34.91289513947952,13.075454797199413,6,low traffic
3/23,17.233750000000004,Zuerich_Schimmelstrasse,59.27833333333334,43.6224528805518,43.6224528805518,24.33577132971829,0,low traffic
3/24,20.621250000000003,Zuerich_Schimmelstrasse,49.86625,54.87555681900806,52.6125824053606,35.90510213322657,1,low traffic
3/25,22.239166666666673,Zuerich_Schimmelstrasse,43.1890909090909,57.00421110911594,53.86403196107174,36.35167672110733,2,low traffic
3/26,31.86909090909091,Zuerich_Schimmelstrasse,35.802083333333336,54.97442742818937,52.45716687931397,44.35700138537725,3,low traffic
3/27,52.92624999999999,Zuerich_Schimmelstrasse,41.67565217391304,51.552556250944434,48.29572314800522,38.07913158935864,4,low traffic
3/28,43.11208333333334,Zuerich_Schimmelstrasse,35.30875,42.634180378839474,49.10061399070274,29.37739731226806,5,low traffic
3/29,24.463478260869568,Zuerich_Schimmelstrasse,49.04333333333334,28.7466917233142,39.4454549336424,17.6080145913623,6,low traffic
3/30,21.038333333333334,Zuerich_Schimmelstrasse,54.92666666666666,44.49325756160029,44.49325756160029,25.20657601076678,0,low traffic
3/31,28.63250000000001,Zuerich_Schimmelstrasse,43.40434782608696,44.1282922352899,42.30851669158501,25.601036419450985,1,low traffic
4/1,42.85458333333333,Zuerich_Schimmelstrasse,48.27125,65.37491692084008,61.77362243880636,44.261267198841956,2,low traffic
4/2,53.74291666666665,Zuerich_Schimmelstrasse,45.5425,50.470500913722546,48.159473645670495,40.05930815173378,3,low traffic
4/3,41.3075,Zuerich_Schimmelstrasse,38.12583333333333,63.75521255001909,59.72747654974995,49.51088499110337,4,low traffic
4/4,28.14041666666667,Zuerich_Schimmelstrasse,44.84041666666667,50.267988805713394,57.89226138526473,38.16904470683005,5,low traffic
4/5,28.62041666666666,Zuerich_Schimmelstrasse,45.482380952380964,37.02183709244112,50.80039194235927,28.962951600079165,6,low traffic
