,RMSE_train_1,RMSE_test_1,R_squared_1,FAC2_1,testdays_1,traindays_1,ratio_1,avg_err_1,RMSE_train_2,RMSE_test_2,R_squared_2,FAC2_2,testdays_2,traindays_2,ratio_2,avg_err_2,RMSE_train_3,RMSE_test_3,R_squared_3,FAC2_3,testdays_3,traindays_3,ratio_3,avg_err_3,RMSE_train_4,RMSE_test_4,R_squared_4,FAC2_4,testdays_4,traindays_4,ratio_4,avg_err_4,RMSE_train_5,RMSE_test_5,R_squared_5,FAC2_5,testdays_5,traindays_5,ratio_5,avg_err_5,RMSE_train_6,RMSE_test_6,R_squared_6,FAC2_6,testdays_6,traindays_6,ratio_6,avg_err_6,RMSE_train_7,RMSE_test_7,R_squared_7,FAC2_7,testdays_7,traindays_7,ratio_7,avg_err_7,RMSE_train_8,RMSE_test_8,R_squared_8,FAC2_8,testdays_8,traindays_8,ratio_8,avg_err_8,RMSE_train_9,RMSE_test_9,R_squared_9,FAC2_9,testdays_9,traindays_9,ratio_9,avg_err_9,RMSE_train_10,RMSE_test_10,R_squared_10,FAC2_10,testdays_10,traindays_10,ratio_10,avg_err_10,RMSE_train_11,RMSE_test_11,R_squared_11,FAC2_11,testdays_11,traindays_11,ratio_11,avg_err_11,RMSE_train_12,RMSE_test_12,R_squared_12,FAC2_12,testdays_12,traindays_12,ratio_12,avg_err_12,mean,max,min,diff
Opfikon_Balsberg,7.168452671693691,12.807821962595293,0.6800327805701517,1.0,30,728,1.031500848964867,-4.6135727392372745,6.814470033929977,11.157743561119615,0.6728999969784766,1.0,27,728,0.9546742776971939,8.024428566685515,6.851502354430963,8.253582686421248,0.6741072321423662,1.0,29,728,0.9842306872726361,2.8320888204853953,6.859290721572791,7.604692447730049,0.6668977190206683,1.0,28,727,0.9998001169102946,0.6710569280458205,6.846768473929961,6.780878882826546,0.6661193400489921,1.0,30,726,1.0413655380307942,-2.613703153610506,6.874291537906442,6.582988409655115,0.6691930066090747,1.0,29,726,1.0500311516107952,-4.0374111667517125,6.867039663300819,4.674373149736413,0.671505920265342,1.0,30,726,1.0246656428235452,-1.4273830156272902,6.841294335573806,4.687477968896628,0.6843183609767256,1.0,30,726,1.0356650399548442,-2.2223031795902504,6.816928466625335,5.713646769179528,0.6848821235533376,1.0,29,726,1.0309736917634231,-2.9056666223757137,6.835950409921879,7.868560041750912,0.6868960850272002,1.0,30,726,1.0454780313666805,-5.089671282486746,6.871527082314226,11.064304412809355,0.6789298648744073,1.0,29,726,1.0646577931184005,-9.194497061573074,7.006238051257797,8.476739092281749,0.6654191912624678,1.0,30,726,1.032306612939982,-4.264071542964929,35.05565744224715,88.38583333333332,9.216363636363637,79.16946969696968
StGallen_Blumenbergplatz,7.602979499249483,11.472957543223885,0.6603088277978819,1.0,30,726,0.9975647550669436,1.7699438790633577,7.275254343505644,20.043216518998282,0.6513231472397658,1.0,27,726,0.9215727755134878,16.044627190540044,7.8044375918383535,7.433451584591319,0.6547370605231884,1.0,29,726,0.9894320904207349,2.114374467260744,7.715639221626301,6.960994078335748,0.6613669548673679,1.0,27,725,1.029665166414608,-2.31105042401596,7.717685755587359,7.704993881114589,0.6638235980969898,1.0,30,723,1.0146570342169494,-1.1641441577420186,7.750403720413407,6.617519586639594,0.6591055696193259,1.0,29,723,0.9947829396734297,1.5044285528437964,7.77455220230107,5.6438261475567,0.6561611506979308,1.0,30,723,1.0388993486230897,-2.1421709534641358,7.75981919381639,6.872248116430755,0.6507626629256359,1.0,30,723,1.0531645719603384,-3.743162285995236,7.8423558976202425,5.915939477603284,0.6370569303557587,1.0,29,723,1.0366464946979388,-3.1193206596930088,7.848769052901342,7.572558891763563,0.6413363290469345,1.0,30,723,1.0368487277801486,-3.2370965803680627,7.789976042152349,8.280389293599855,0.6317218745258095,1.0,29,723,1.0393758651723646,-4.763148797008135,7.803439311905982,10.819001580954405,0.6203657698336678,1.0,27,723,1.040852718862985,-2.430862381490038,33.800346986473635,100.14916666666664,10.674166666666665,89.47499999999998
StGallen_Stuelegg,2.990850758373486,7.272865059435592,0.6332021620998474,0.9333333333333333,30,728,0.8485013697721924,2.1772187796548605,2.914232783902064,6.234874285180143,0.6153905832320705,0.9629629629629629,27,728,0.7032690258667214,5.064401866186688,3.012033644693412,2.4892352587613837,0.6137238405487102,0.8620689655172413,29,728,0.703503161938198,0.30037005222633006,2.9744749170672162,2.856467927718869,0.6100923755381102,1.0,28,727,-5.617625352825107,0.722713624824749,2.95251138372519,1.6840278670242756,0.6151469180522942,1.0,30,726,0.9352254475881197,0.6977011313080402,2.93454909912017,1.7283448197708904,0.6196929416572711,1.0,29,726,0.9105414752792794,0.8612634198635412,2.934945469181785,1.6664147207075348,0.6153036430979322,1.0,30,726,0.939054895205206,0.6790047849282999,2.944627491218459,1.0327332152319582,0.6075580183104343,1.0,30,726,1.1007460990162525,-0.36460275215213345,2.924916877474322,2.1311653083129247,0.6110837832425484,0.9655172413793104,29,726,2.610622569678288,0.33225060903286346,2.933931225789507,2.441865096198367,0.6074864455469502,1.0,30,726,0.7214254192369866,0.13390679684082804,2.9181202039438614,2.6096424949560153,0.6237208430731807,1.0,29,726,1.2123418205314556,0.0028121255000830214,2.9642314096204823,2.5549473403181597,0.6161170146691844,0.9666666666666667,30,726,0.1463791711878499,-1.017236180371012,6.61288314026668,46.68608695652173,0.014166666666666631,46.67192028985506
Zuerich_Schimmelstrasse,7.031196265028866,12.007194986995135,0.7461834266383005,1.0,30,726,0.9926564597074486,0.42339328892520195,6.610689153475488,5.786794534975554,0.751462717950552,1.0,27,726,1.0124196228565623,-1.2371554740503947,6.5964125705217045,8.27494660458222,0.7587136759629516,1.0,29,726,1.0550779970451203,-4.293083498150213,6.69678180142785,10.727290206141246,0.7579090502818555,1.0,28,725,1.0155587596316458,-2.947239118332877,6.735030292126123,6.035709321175239,0.7581815633723294,1.0,30,724,0.9990522914336171,0.3998501636221866,6.65599056093195,4.736763217747232,0.7616175129653402,1.0,29,724,1.0115663535121848,-0.5150870370265015,6.620959039919068,6.506814966554509,0.7591144917404239,1.0,30,724,1.019283531395204,-0.4275235157748895,6.600898048775897,6.943037418692193,0.7601438648132467,1.0,30,724,1.0423356983059027,-4.439886131911859,6.56690847014584,9.361099699424267,0.7592015534839713,1.0,29,724,1.0566256096444542,-5.217950702521971,6.683201313878667,13.26874365447303,0.750583430110676,1.0,30,724,1.0947180355385535,-11.570924045086128,6.7992867835380375,8.709027698854252,0.7313042725624379,1.0,29,724,1.038269091410524,-4.042667875561727,6.763824549264032,9.126827907882129,0.7252678783691783,1.0,30,724,1.0325937713618003,-1.1267956726226425,38.005219593968064,89.43124999999998,5.651666666666667,83.7795833333333
Zuerich_Stampfenbachstrasse,6.5823888635288945,9.954985997808254,0.7996731881981443,1.0,30,728,1.0111851748905087,-2.1028863201552785,6.09373786447653,8.267127177313247,0.7947804933344665,1.0,27,728,1.0330865515289143,-3.766137057846478,6.137732310136972,6.202218130437531,0.7991109842804718,1.0,29,728,1.0463172673008942,-1.6455510487063574,6.182028889022297,8.932508910718614,0.7978492247358839,1.0,28,727,1.0577029117382917,-4.345415171709241,6.123619472553949,7.601328389127928,0.8025092014907202,1.0,30,726,1.0062326968115143,1.3673175324674753,6.224609178703543,3.7775529937382197,0.8010543840853444,1.0,29,726,1.0045011337676235,0.8379284959843338,6.234925935976796,6.295202827901082,0.7930480306598313,1.0,30,726,1.0143478098810081,0.8368414602953792,6.297311894687251,3.2618836389741133,0.7871468253354184,1.0,30,726,1.0085511410516506,-0.24795344803349043,6.217463590997177,5.682639421280161,0.792079504342114,1.0,29,726,1.0524182792176897,-2.7182600402559096,6.231159873802178,9.77718324045666,0.7886658639313132,1.0,30,726,1.0905064862032996,-7.965859082582403,6.2166575690431785,9.281520006685897,0.776526810269757,1.0,29,726,1.0624953705608562,-4.808487457704764,6.07440614475404,8.678884057705233,0.7712674798480427,1.0,30,726,1.0256363246732372,0.37593703063937245,28.420886690811596,82.855,5.2941666666666665,77.56083333333333
